product_name,description,Product ID,Product Type,Code,Price,Cost Price,Retail Price,selling_price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,Product Condition,Product URL,Redirect Old URL?,Product Tax Code,Product Custom Fields,brand_id
"BRACKET,MOTOR MOUNT,PAINT"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955267862</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             US</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                1.2 IN
                                              |  3.048 CM</div>
<div>
<span>Length:</span>
                                8.4 IN
                                              |  21.336 CM</div>
<div>
<span>Width:</span>
                                1.2 IN
                                              |  3.048 CM</div>
<div>
<span>Volume:</span>
                                .01 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                2.46 LBS
                                             | 1.116 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Bracket</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,16X808,,0,0,0,0,0,N,,1,1,1,1,Y,Y,,N,0,0,8/26/2024,9/26/2024,,,"BRACKET,MOTOR MOUNT,PAINT","BRACKET,MOTOR MOUNT,PAINT",New,,,,,2
"SENSOR,RTD 1 K OHM"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955668218</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             US</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                .85 IN
                                              |  2.159 CM</div>
<div>
<span>Length:</span>
                                6.65 IN
                                              |  16.891 CM</div>
<div>
<span>Width:</span>
                                4.95 IN
                                              |  12.573 CM</div>
<div>
<span>Volume:</span>
                                .016 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                .09 LBS
                                             | 0.041 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,15V837,$309.00 USD,0,0,$185.40 USD,$185.40 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"SENSOR,RTD 1 K OHM","SENSOR,RTD 1 K OHM",New,,,,,2
"KIT,DRUM LEVEL, METAL"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955669307</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                3.6 IN
                                              |  9.144 CM</div>
<div>
<span>Length:</span>
                                56.4 IN
                                              |  143.256 CM</div>
<div>
<span>Width:</span>
                                3.6 IN
                                              |  9.144 CM</div>
<div>
<span>Volume:</span>
                                .423 FT3
                                              |  .012 M3</div>
<div>
<span>Shipping Weight:</span>
                                4 LBS
                                             | 1.81 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,24M174,$178.50 USD,0,0,$107.10 USD,$107.10 USD,0,N,,1,1,1,1,Y,Y,,N,4In,0,8/26/2024,9/26/2024,,,"KIT,DRUM LEVEL, METAL","KIT,DRUM LEVEL, METAL",New,,,,,2
"KIT,INLET ASSEMBLY EXP2 A"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955665514</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                4.8 IN
                                              |  12.192 CM</div>
<div>
<span>Length:</span>
                                20.4 IN
                                              |  51.816 CM</div>
<div>
<span>Width:</span>
                                4.8 IN
                                              |  12.192 CM</div>
<div>
<span>Volume:</span>
                                .27 FT3
                                              |  .008 M3</div>
<div>
<span>Shipping Weight:</span>
                                4 LBS
                                             | 1.81 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,24L928,$489.00 USD,0,0,$293.40 USD,$293.40 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"KIT,INLET ASSEMBLY EXP2 A","KIT,INLET ASSEMBLY EXP2 A",New,,,,,2
"HOLDER, CABLE, TIE"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955022195</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Length:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Width:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                0 KG
                                             | 0 LBS</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Cable Tie</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,16K214,$7.45 USD,0,0,$4.47 USD,$4.47 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"HOLDER, CABLE, TIE","HOLDER, CABLE, TIE",New,,,,,2
"TUBE, A-SIDE, OUTLET"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955024168</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                18.288 CM
                                              |  7.2 IN</div>
<div>
<span>Length:</span>
                                13.2 IN
                                              |  33.528 CM</div>
<div>
<span>Width:</span>
                                9.6 IN
                                              |  24.384 CM</div>
<div>
<span>Volume:</span>
                                .53 FT3
                                              |  .015 M3</div>
<div>
<span>Shipping Weight:</span>
                                1 LBS
                                             | .45 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Drain Tube</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,16K227,,0,0,0,0,0,N,,1,1,1,1,Y,Y,,N,0,0,8/26/2024,9/26/2024,,,"TUBE, A-SIDE, OUTLET","TUBE, A-SIDE, OUTLET",New,,,,,2
"HOSE,COUPLED,18 INCH LONG"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955026155</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                1.35 IN
                                              |  3.429 CM</div>
<div>
<span>Length:</span>
                                2.35 IN
                                              |  5.969 CM</div>
<div>
<span>Width:</span>
                                17.95 IN
                                              |  45.593 CM</div>
<div>
<span>Volume:</span>
                                .033 FT3
                                              |  .001 M3</div>
<div>
<span>Shipping Weight:</span>
                                1.25 LBS
                                             | .57 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,16K311,$133.00 USD,0,0,$79.80 USD,$79.80 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"HOSE,COUPLED,18 INCH LONG","HOSE,COUPLED,18 INCH LONG",New,,,,,2
"BRACKET, LIGHT TOWER, PAINT"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             633955026865</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             US</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                2.95 IN
                                              |  7.493 CM</div>
<div>
<span>Length:</span>
                                4 IN
                                              |  10.160 CM</div>
<div>
<span>Width:</span>
                                3.15 IN
                                              |  8.001 CM</div>
<div>
<span>Volume:</span>
                                .022 FT3
                                              |  0.001 M3</div>
<div>
<span>Shipping Weight:</span>
                                .93 LBS
                                             | 0.422 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,16K322,$321.00 USD,0,0,$192.60 USD,$192.60 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"BRACKET, LIGHT TOWER, PAINT","BRACKET, LIGHT TOWER, PAINT",New,,,,,2
"Integrated PowerStation, AC 20 cfm","Change the way you configure your rig and prepare for the jobsite. The all new Integrated PowerStation, including a Tier 4 Final engine, features a compact design, smaller footprint, and is plug-and-play with standard Reactor 2 proportioners, making it easy to set up your rig and to start spraying quickly. A 2 engineered solution that gives you more air power, more auxiliary power, more layout flexibility, more heat options and more fuel savings.The Integrated PowerStation provides breakthrough power and performance while saving you money on diesel fuel. <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             755652790150</div>
<div>
<span>Family Code:</span>
                                     FAMEIE</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                68 IN
                                              |  172.72 CM</div>
<div>
<span>Length:</span>
                                46 IN
                                              |  116.84 CM</div>
<div>
<span>Width:</span>
                                59 IN
                                              |  149.86 CM</div>
<div>
<span>Volume:</span>
                                106.801 FT3
                                              |  3.024 M3</div>
<div>
<span>Shipping Weight:</span>
                                1880 LBS
                                             | 852.75 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Air Controls Included</th>
<td class=""text-align--right"">
<span><strong>Included</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Air Dryer Consumption (CFM)</th>
<td class=""text-align--right"">
<span><strong>22</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Air Dryer Model</th>
<td class=""text-align--right"">
<span><strong>Hankison HIT20</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Alternator Brand</th>
<td class=""text-align--right"">
<span><strong>Mecc Alte</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Alternator Peak Consumption (kVa)</th>
<td class=""text-align--right"">
<span><strong>22</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Alternator Voltage (V)</th>
<td class=""text-align--right"">
<span><strong>240</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Aux Power @ 240 V</th>
<td class=""text-align--right"">
<span><strong>30+ amps</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Compressor Air Consumption (CFM)</th>
<td class=""text-align--right"">
<span><strong>20</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Compressor Model</th>
<td class=""text-align--right"">
<span><strong>Hydrovane HC04</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Engine Model</th>
<td class=""text-align--right"">
<span><strong>Kohler KDI1903TCR</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Engine Size (kW)</th>
<td class=""text-align--right"">
<span><strong>33.6</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Fuel Tank Included</th>
<td class=""text-align--right"">
<span><strong>Not Included</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Pallet Height (in)</th>
<td class=""text-align--right"">
<span><strong>63</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Pallet Length (in)</th>
<td class=""text-align--right"">
<span><strong>57.45</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Pallet Width (in)</th>
<td class=""text-align--right"">
<span><strong>46.75</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Phase</th>
<td class=""text-align--right"">
<span><strong>1</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Proportioner Package</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Model</th>
<td class=""text-align--right"">
<span><strong>Reactor 2</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">system_includes</th>
<td class=""text-align--right"">
<span><strong>Bare</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,979201,,0,0,0,0,0,N,,1,1,1,1,Y,Y,,N,0,0,8/26/2024,9/26/2024,,https://store-s6knf1ps94.mybigcommerce.com/product_images/import/image_979201.jpg,"Integrated PowerStation, AC 20 cfm","Integrated PowerStation, AC 20 cfm",New,,,,,2
"PLUG, HOLE, GAUGE"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955448667</div>
<div>
<span>Family Code:</span>
                                     FAMXMX</div>
<div>
<span>Country of Origin:</span>
                             US</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                .95 IN
                                              |  2.413 CM</div>
<div>
<span>Length:</span>
                                2.15 IN
                                              |  5.461 CM</div>
<div>
<span>Width:</span>
                                2.15 IN
                                              |  5.461 CM</div>
<div>
<span>Volume:</span>
                                .003 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                .03 LBS
                                             | 0.014 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Cap Plug</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,16J688,$12.00 USD,0,0,$8.40 USD,$8.40 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"PLUG, HOLE, GAUGE","PLUG, HOLE, GAUGE",New,,,,,2
"CORE,FERRITE,SNAP-ON, HF.76 ID"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955682542</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                12.7 CM
                                              |  5 IN</div>
<div>
<span>Length:</span>
                                2.75 IN
                                              |  6.985 CM</div>
<div>
<span>Width:</span>
                                1 IN
                                              |  2.54 CM</div>
<div>
<span>Volume:</span>
                                0 M3
                                              |  .008 FT3</div>
<div>
<span>Shipping Weight:</span>
                                .18 LBS
                                             | .08 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,16Y509,$25.00 USD,0,0,$15.00 USD,$15.00 USD,0,N,,1,1,1,1,Y,Y,,N,Ships,0,8/26/2024,9/26/2024,,,"CORE,FERRITE,SNAP-ON, HF.76 ID","CORE,FERRITE,SNAP-ON, HF.76 ID",New,,,,,2
"BRACKET,CLAMP,PAINTED"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955225299</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             US</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                11.8 IN
                                              |  29.972 CM</div>
<div>
<span>Length:</span>
                                13.6 IN
                                              |  34.544 CM</div>
<div>
<span>Width:</span>
                                12 IN
                                              |  30.480 CM</div>
<div>
<span>Volume:</span>
                                1.114 FT3
                                              |  0.032 M3</div>
<div>
<span>Shipping Weight:</span>
                                4.98 LBS
                                             | 2.259 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Bracket</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,16W689,$239.50 USD,0,0,$143.70 USD,$143.70 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"BRACKET,CLAMP,PAINTED","BRACKET,CLAMP,PAINTED",New,,,,,2
"CABLE, INT REACTOR, DRYER, BKR"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955177123</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Length:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Width:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                0 LBS
                                             | 0 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,24U078,$217.50 USD,0,0,$130.50 USD,$130.50 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"CABLE, INT REACTOR, DRYER, BKR","CABLE, INT REACTOR, DRYER, BKR",New,,,,,2
"MANIFOLD, .50 NPT TO .25 NPT"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955668294</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                1.55 IN
                                              |  3.937 CM</div>
<div>
<span>Length:</span>
                                5.3 IN
                                              |  13.462 CM</div>
<div>
<span>Width:</span>
                                2.3 IN
                                              |  5.842 CM</div>
<div>
<span>Volume:</span>
                                .011 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                1.13 LBS
                                             | .51 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,16H482,$159.00 USD,0,0,$95.40 USD,$95.40 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"MANIFOLD, .50 NPT TO .25 NPT","MANIFOLD, .50 NPT TO .25 NPT",New,,,,,2
"BRACKET, HEAT EXCHANGER"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955014503</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             US</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Length:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Width:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                0 LBS
                                             | 0.000 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Bracket</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,16H753,$60.75 USD,0,0,$36.45 USD,$36.45 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"BRACKET, HEAT EXCHANGER","BRACKET, HEAT EXCHANGER",New,,,,,2
"BRACKET, MOUNTING, PUMP"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955014510</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                0 CM
                                              |  0 IN</div>
<div>
<span>Length:</span>
                                0 CM
                                              |  0 IN</div>
<div>
<span>Width:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                0 LBS
                                             | 0 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Bracket</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,16H755,$39.70 USD,0,0,$23.82 USD,$23.82 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"BRACKET, MOUNTING, PUMP","BRACKET, MOUNTING, PUMP",New,,,,,2
"BLOCK,TERMINAL, UT35"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955285415</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                .65 IN
                                              |  1.651 CM</div>
<div>
<span>Length:</span>
                                6.096 CM
                                              |  2.4 IN</div>
<div>
<span>Width:</span>
                                6.35 CM
                                              |  2.5 IN</div>
<div>
<span>Volume:</span>
                                .002 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                .05 KG
                                             | .12 LBS</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,24R724,$29.70 USD,0,0,$17.82 USD,$17.82 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"BLOCK,TERMINAL, UT35","BLOCK,TERMINAL, UT35",New,,,,,2
